,tweet_index,comp,positive,negative,neutral,text,created_at
127,-128,-0.5267,0.0,0.159,0.841,The head of an inquiry into Australia’s banks said that some of the behaviour uncovered had been criminal https://t.co/1aqtXAhRsH,Sat Oct 06 09:08:59 +0000 2018
128,-129,-0.25,0.0,0.118,0.882,Latin America cannot cope with the Venezuelan exodus alone. The region needs more international aid https://t.co/87NsFMrdPm,Sat Oct 06 08:49:53 +0000 2018
129,-130,0.4588,0.164,0.085,0.751,"The failure to reclaim a part of Chile's coast is a blow to every Bolivian, but the mood in Chile is relief  https://t.co/1wt5iwmLaT",Sat Oct 06 08:30:36 +0000 2018
130,-131,0.0,0.0,0.0,1.0,"Is the gig economy really ""the reincarnation of an ancient evil"", as the Archbishop of Canterbury calls it? https://t.co/cedhbwTNg8",Sat Oct 06 08:10:55 +0000 2018
131,-132,0.296,0.109,0.0,0.891,The atmosphere in Italy is fraught. Yet surprisingly little is known about the intentions of government's fiscal po… https://t.co/HZCkWaA2O0,Sat Oct 06 07:51:36 +0000 2018
132,-133,0.3612,0.185,0.0,0.815,"RT @EconCulture: To Brătescu, a line was like a dance on the page https://t.co/cMRme4BFuc",Sat Oct 06 07:32:31 +0000 2018
133,-134,0.0,0.0,0.0,1.0,"Thyssenkrupp, a German conglomerate, bowed to shareholders and said it would split in two 
 https://t.co/Hw1pQbtpV1 https://t.co/EWmjZyA9Ly",Sat Oct 06 07:15:41 +0000 2018
134,-135,0.5719,0.171,0.0,0.829,"If Jair Bolsonaro wins Brazil's election, the survival of democracy in Latin America's largest country could be put… https://t.co/XBi7dk2akw",Sat Oct 06 07:02:31 +0000 2018
135,-136,0.3818,0.191,0.0,0.809,Wind power helps the shipping industry comply with new climate-change targets https://t.co/oPftOPGyHT,Sat Oct 06 07:00:03 +0000 2018
136,-137,-0.3612,0.0,0.2,0.8,John Flannery could not repair GE’s past mistakes quickly enough https://t.co/I2PMj8mEnV,Sat Oct 06 06:41:39 +0000 2018
137,-138,-0.1779,0.17,0.218,0.612,"Russia is close, immediate and scary in a city like Riga https://t.co/6gEGCGa9Im",Sat Oct 06 06:23:22 +0000 2018
138,-139,-0.2023,0.0,0.359,0.641,Chinese and American warships nearly collide https://t.co/a1oi0UNis8,Sat Oct 06 06:07:19 +0000 2018
139,-140,0.4588,0.333,0.0,0.667,Amazon’s $15 minimum wage is welcome https://t.co/G95kuLwkKH,Sat Oct 06 05:47:21 +0000 2018
140,-141,0.34,0.158,0.096,0.746,"No one expects India’s film industry, where hunky male stars with steroidal salaries still reign supreme, to elimin… https://t.co/KsLbgYg4Yf",Sat Oct 06 05:29:05 +0000 2018
141,-142,-0.4019,0.0,0.252,0.748,"With elections looming, the government has found new ways to silence critics https://t.co/aN3lwog2hc",Sat Oct 06 05:28:05 +0000 2018
142,-143,-0.25,0.177,0.339,0.484,Reducing cyber-bullying through legislation is tricky as laws risk restricting free speech https://t.co/Dy2BKEnFam,Sat Oct 06 05:23:39 +0000 2018
143,-144,-0.4019,0.0,0.13,0.87,Conservatives have long complained that Republican appointees tend to drift to the left. Data on judicial records s… https://t.co/s1IP0k2UUJ,Sat Oct 06 05:05:26 +0000 2018
144,-145,-0.6597,0.0,0.375,0.625,“A larger European conflict could start with an attack Sweden” https://t.co/bwFlZMRCcM,Sat Oct 06 04:45:53 +0000 2018
145,-146,-0.765,0.0,0.485,0.515,The dramatic drop in suicide among elderly Britons https://t.co/05VhD1HkpM,Sat Oct 06 04:27:09 +0000 2018
146,-147,0.2648,0.173,0.115,0.712,"Mistrust is especially high among supporters of the front-runner, Jair Bolsonaro, a ferociously right-wing populist https://t.co/wlyf6GOIOT",Sat Oct 06 04:09:07 +0000 2018
